title_product,rating,rating_number,price,description,features,store,details,top_10_comments
"Temporary Tattoo Factory Stripteaze Naughty Tattoos - Naughty Ultra Realistic Fake Adult Temporary Tattoos a little Trashy and Slutty Words Tattoos for Women's Hip, Lower Back, Thigh, Arm Tramp Stamp - Long Lasting (30Pack)",2.0,152,9.99,[],"['REALISTIC TEMPORARY TATTOOS: Our Stripteaze Tattoos have the look of real ink. Some cheap fake tattoos have a sticker-like appearance, which can take away the fun of wearing them. When properly applied, our specially designed realistic temporary tattoos are flat on the skin and look like the real thing.'
 '""EASY TO APPLY: A traditional temporary tattoo can take up to sixty (60) seconds to apply, which is a long time when you\'re holding a wet towel onto your arm. Our long lasting tattoos can be fully applied in just ten (10) seconds! They are great for placing on your thigh, arm, back, or face. These are premium-quality tattoos made right here in the USA! ""'
 'RELEASE YOUR WILD SIDE: Our imitation tattoos for women are the perfect way to show off your wild side. Our pack of over thirty (30) adult fake tattoos includes cherries, hearts, roses, bunnies, and provocative messages. They are great to wear for a bachelorette party, Halloween, or just for a crazy night out on the town.'
 '""WATERPROOF TATTOOS: Our temporary tattoos for women are made to last. Our stick on tattoos are designed to last up to five (5) days! They are great to wear on long vacations or at concert festivals. When you\'re ready to remove the tattoo, simply apply rubbing alcohol to it and gently scrub your skin. It\'s as easy as 1, 2, 3! ""'
 '""TEMPORARY TATTOO FACTORY: Our patented temporary tattoos are non-toxic, non-allergic, and 100% safe for all skin types. We made these exclusively for customers that want the look of realistic tattoos without having to get permanent ink. If there is ever an issue with our products, please reach out to us and we will do our best to make it right. ""'
 'Great gift item!']",TEMPORARY TATTOO FACTORY,"{""Color"": ""Tribal"", ""Brand"": ""TEMPORARY TATTOO FACTORY"", ""Size"": ""30 Count (Pack of 1)"", ""Style"": ""Custom"", ""Water Resistance Level"": ""Waterproof"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""8.3 x 7 x 0.25 inches; 1.6 Ounces"", ""UPC"": ""533289000039"", ""Manufacturer"": ""Temporary Tattoo Factory""}","['{""Color"": ""Tribal"", ""Brand"": ""TEMPORARY TATTOO FACTORY"", ""Size"": ""30 Count (Pack of 1)"", ""Style"": ""Custom"", ""Water Resistance Level"": ""Waterproof"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""8.3 x 7 x 0.25 inches; 1.6 Ounces"", ""UPC"": ""533289000039"", ""Manufacturer"": ""Temporary Tattoo Factory""}', '{""Color"": ""Tribal"", ""Brand"": ""TEMPORARY TATTOO FACTORY"", ""Size"": ""30 Count (Pack of 1)"", ""Style"": ""Custom"", ""Water Resistance Level"": ""Waterproof"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""8.3 x 7 x 0.25 inches; 1.6 Ounces"", ""UPC"": ""533289000039"", ""Manufacturer"": ""Temporary Tattoo Factory""}', '{""Color"": ""Tribal"", ""Brand"": ""TEMPORARY TATTOO FACTORY"", ""Size"": ""30 Count (Pack of 1)"", ""Style"": ""Custom"", ""Water Resistance Level"": ""Waterproof"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""8.3 x 7 x 0.25 inches; 1.6 Ounces"", ""UPC"": ""533289000039"", ""Manufacturer"": ""Temporary Tattoo Factory""}', '{""Color"": ""Tribal"", ""Brand"": ""TEMPORARY TATTOO FACTORY"", ""Size"": ""30 Count (Pack of 1)"", ""Style"": ""Custom"", ""Water Resistance Level"": ""Waterproof"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""8.3 x 7 x 0.25 inches; 1.6 Ounces"", ""UPC"": ""533289000039"", ""Manufacturer"": ""Temporary Tattoo Factory""}', '{""Color"": ""Tribal"", ""Brand"": ""TEMPORARY TATTOO FACTORY"", ""Size"": ""30 Count (Pack of 1)"", ""Style"": ""Custom"", ""Water Resistance Level"": ""Waterproof"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""8.3 x 7 x 0.25 inches; 1.6 Ounces"", ""UPC"": ""533289000039"", ""Manufacturer"": ""Temporary Tattoo Factory""}', '{""Color"": ""Tribal"", ""Brand"": ""TEMPORARY TATTOO FACTORY"", ""Size"": ""30 Count (Pack of 1)"", ""Style"": ""Custom"", ""Water Resistance Level"": ""Waterproof"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""8.3 x 7 x 0.25 inches; 1.6 Ounces"", ""UPC"": ""533289000039"", ""Manufacturer"": ""Temporary Tattoo Factory""}', '{""Color"": ""Tribal"", ""Brand"": ""TEMPORARY TATTOO FACTORY"", ""Size"": ""30 Count (Pack of 1)"", ""Style"": ""Custom"", ""Water Resistance Level"": ""Waterproof"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""8.3 x 7 x 0.25 inches; 1.6 Ounces"", ""UPC"": ""533289000039"", ""Manufacturer"": ""Temporary Tattoo Factory""}', '{""Color"": ""Tribal"", ""Brand"": ""TEMPORARY TATTOO FACTORY"", ""Size"": ""30 Count (Pack of 1)"", ""Style"": ""Custom"", ""Water Resistance Level"": ""Waterproof"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""8.3 x 7 x 0.25 inches; 1.6 Ounces"", ""UPC"": ""533289000039"", ""Manufacturer"": ""Temporary Tattoo Factory""}', '{""Color"": ""Tribal"", ""Brand"": ""TEMPORARY TATTOO FACTORY"", ""Size"": ""30 Count (Pack of 1)"", ""Style"": ""Custom"", ""Water Resistance Level"": ""Waterproof"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""8.3 x 7 x 0.25 inches; 1.6 Ounces"", ""UPC"": ""533289000039"", ""Manufacturer"": ""Temporary Tattoo Factory""}', '{""Color"": ""Tribal"", ""Brand"": ""TEMPORARY TATTOO FACTORY"", ""Size"": ""30 Count (Pack of 1)"", ""Style"": ""Custom"", ""Water Resistance Level"": ""Waterproof"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""8.3 x 7 x 0.25 inches; 1.6 Ounces"", ""UPC"": ""533289000039"", ""Manufacturer"": ""Temporary Tattoo Factory""}']"
Sgx Nyc Under Control Finishing Spray (Pack of 4),5.0,26,29.99,['Sgx Nyc Under Control Finishing Spray (Pack of 4)'],[],SGX NYC,"{""Item Form"": ""Spray"", ""Brand"": ""SGX NYC"", ""Number of Items"": ""4"", ""Unit Count"": ""1.00 Count"", ""Package Dimensions"": ""10 x 4.69 x 4.69 inches; 2.87 Pounds"", ""UPC"": ""034044000382""}","['{""Item Form"": ""Spray"", ""Brand"": ""SGX NYC"", ""Number of Items"": ""4"", ""Unit Count"": ""1.00 Count"", ""Package Dimensions"": ""10 x 4.69 x 4.69 inches; 2.87 Pounds"", ""UPC"": ""034044000382""}', '{""Item Form"": ""Spray"", ""Brand"": ""SGX NYC"", ""Number of Items"": ""4"", ""Unit Count"": ""1.00 Count"", ""Package Dimensions"": ""10 x 4.69 x 4.69 inches; 2.87 Pounds"", ""UPC"": ""034044000382""}', '{""Item Form"": ""Spray"", ""Brand"": ""SGX NYC"", ""Number of Items"": ""4"", ""Unit Count"": ""1.00 Count"", ""Package Dimensions"": ""10 x 4.69 x 4.69 inches; 2.87 Pounds"", ""UPC"": ""034044000382""}']"
Single Belly Button Piercing Kit 14 Gauge Curved Barbell,2.0,97,12.98,['Single belly button piercing kit as pictured.'],[],ETS,"{""UPC"": ""794168753938"", ""Manufacturer"": ""ETS""}","['{""UPC"": ""794168753938"", ""Manufacturer"": ""ETS""}', '{""UPC"": ""794168753938"", ""Manufacturer"": ""ETS""}', '{""UPC"": ""794168753938"", ""Manufacturer"": ""ETS""}', '{""UPC"": ""794168753938"", ""Manufacturer"": ""ETS""}', '{""UPC"": ""794168753938"", ""Manufacturer"": ""ETS""}', '{""UPC"": ""794168753938"", ""Manufacturer"": ""ETS""}', '{""UPC"": ""794168753938"", ""Manufacturer"": ""ETS""}', '{""UPC"": ""794168753938"", ""Manufacturer"": ""ETS""}', '{""UPC"": ""794168753938"", ""Manufacturer"": ""ETS""}', '{""UPC"": ""794168753938"", ""Manufacturer"": ""ETS""}']"
"CAXIRO IPL Hair Removal Device for Women and Man, Permanent Reduction in Hair Regrowth for Body, Face & Precision Areas (Bikini and Underarms)",5.0,19,49.99,[],[],CAXIRO,"{""Package Dimensions"": ""7.76 x 7.68 x 2.32 inches; 1.48 Pounds"", ""UPC"": ""791324774318""}","['{""Package Dimensions"": ""7.76 x 7.68 x 2.32 inches; 1.48 Pounds"", ""UPC"": ""791324774318""}', '{""Package Dimensions"": ""7.76 x 7.68 x 2.32 inches; 1.48 Pounds"", ""UPC"": ""791324774318""}', '{""Package Dimensions"": ""7.76 x 7.68 x 2.32 inches; 1.48 Pounds"", ""UPC"": ""791324774318""}', '{""Package Dimensions"": ""7.76 x 7.68 x 2.32 inches; 1.48 Pounds"", ""UPC"": ""791324774318""}', '{""Package Dimensions"": ""7.76 x 7.68 x 2.32 inches; 1.48 Pounds"", ""UPC"": ""791324774318""}', '{""Package Dimensions"": ""7.76 x 7.68 x 2.32 inches; 1.48 Pounds"", ""UPC"": ""791324774318""}']"
"lofuanna Poly Nail Extension Gel set,15ML Color Poly Nail Gel Builder Enhancement Nail Thickening Acrylic Extension, Professional Technician Tool Nail Art Salon Nail Easy DIY at Home (6 pcs)",1.0,77,13.98,[],[],lofuanna,"{""Color"": ""Clear,Golden,White,Pink,Silver"", ""Size"": ""Large"", ""Material"": ""Acrylic"", ""Brand"": ""lofuanna"", ""Style"": ""Tool"", ""Package Dimensions"": ""7.21 x 4.37 x 1.18 inches; 4.16 Ounces""}","['{""Color"": ""Clear,Golden,White,Pink,Silver"", ""Size"": ""Large"", ""Material"": ""Acrylic"", ""Brand"": ""lofuanna"", ""Style"": ""Tool"", ""Package Dimensions"": ""7.21 x 4.37 x 1.18 inches; 4.16 Ounces""}', '{""Color"": ""Clear,Golden,White,Pink,Silver"", ""Size"": ""Large"", ""Material"": ""Acrylic"", ""Brand"": ""lofuanna"", ""Style"": ""Tool"", ""Package Dimensions"": ""7.21 x 4.37 x 1.18 inches; 4.16 Ounces""}', '{""Color"": ""Clear,Golden,White,Pink,Silver"", ""Size"": ""Large"", ""Material"": ""Acrylic"", ""Brand"": ""lofuanna"", ""Style"": ""Tool"", ""Package Dimensions"": ""7.21 x 4.37 x 1.18 inches; 4.16 Ounces""}']"
"Aloe Life – Skin Gel & Herbs Ultimate Skin Treatment, 99% Certified Organic Whole Leaf Aloe Vera, Vitamins C, A, & E, Head-to-Toe Skin Care Support for the Whole Family, Fragrance-Free (1 oz)",3.0,115,7.29,"['Aloe Life Skin Gel is an organically grown whole leaf aloe skin product. Aloe leaves are juiced and then thickened naturally with Xanthan gum, which makes this skin gel 100% edible. The all-natural ingredients allow this gel to penetrate the skin to aid in conditioning and moisturizing. It is safe for adults and children to use on troubled skin, face, scalp, hands, feet, hair, body, jock itch, and even vaginal dryness. It contains yellow sap, which gives the gel its golden yellow color, and is traditionally used for skin support. This gel is safe for burns, stretch marks, damaged and thinning hair, itchy scalp, after shave, as well as brushing your teeth. It contains skin nutrients and vitamins A, C, and E which are combined with chamomile and azulene extract sourced from Comfrey. The value of this aloe vera skin topical is tremendous. It’s easy to see why Cleopatra named aloe vera the beauty herb! Take your first steps towards a happier, healthier you today with Aloe Life Skin Gel. Aloe Life International Inc, a leader in the Aloe industry for over 30 years, was founded in 1991 by clinical nutritionist, researcher, and author Karen Masterson Koch. Her clinical experience and education in immunology working with the famous Dr. Virginia Livingston, MD, gave her a thirst for more research and natural health application. Studies at Dallas Fort Worth Medical University and other institutions around the globe on aloe vera launched her research into the whole leaf aloe vera concentrate which revealed amazing results and led to the very best - Aloe Life products!']","['PERFECT FOR CHILDREN & ADULTS: This organic skin gel derived from plants is versatile & safe for application on the face & scalp. This skin gel is safe for adults & children, & can even be used for brushing teeth.'
 'HIGH-QUALITY FORMULA: We begin our extraction process by harvesting aloe vera leaves, which we then juice & thicken with Xanthan gum. Contains Valuable Yellow Sap (giving the gel its golden color) with actives traditionally used for skin support.'
 'HELPS CONDITION DRY SKIN: Skin Gel & Herbs from Aloe Life seeps into the skin tissue to help condition & moisturize. The gentle herbal mixture is a natural remedy for skin sensitivity.'
 'VERSATILE APPLICATIONS: With multiple uses and forms of effectiveness, this skin gel is ideal for burns, stretch marks, irritated skin, damaged & thinning hair, itchy scalp, & is even good for conditions such as jock itch & vaginal dryness.'
 'MISSION STATEMENT: Our goal is to support a healthier, more enjoyable life with proper nutrition, education, & high-quality vitamins & supplements. All products by Aloe Life are designed to support health & body wellness for a healthier, happier you!']",Aloe Life,"{""Brand"": ""Aloe Life"", ""Item Form"": ""Gel"", ""Active Ingredients"": ""Vitamin_c, Vitamin_e"", ""Unit Count"": ""1.0 Ounce"", ""Number of Items"": ""1"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""3.4 x 1.2 x 1 inches; 1 Ounces"", ""Item model number"": ""SG_B003O1VO3Y_US"", ""UPC"": ""795922363738 885169201150"", ""Manufacturer"": ""Aloe Life""}","['{""Brand"": ""Aloe Life"", ""Item Form"": ""Gel"", ""Active Ingredients"": ""Vitamin_c, Vitamin_e"", ""Unit Count"": ""1.0 Ounce"", ""Number of Items"": ""1"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""3.4 x 1.2 x 1 inches; 1 Ounces"", ""Item model number"": ""SG_B003O1VO3Y_US"", ""UPC"": ""795922363738 885169201150"", ""Manufacturer"": ""Aloe Life""}', '{""Brand"": ""Aloe Life"", ""Item Form"": ""Gel"", ""Active Ingredients"": ""Vitamin_c, Vitamin_e"", ""Unit Count"": ""1.0 Ounce"", ""Number of Items"": ""1"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""3.4 x 1.2 x 1 inches; 1 Ounces"", ""Item model number"": ""SG_B003O1VO3Y_US"", ""UPC"": ""795922363738 885169201150"", ""Manufacturer"": ""Aloe Life""}', '{""Brand"": ""Aloe Life"", ""Item Form"": ""Gel"", ""Active Ingredients"": ""Vitamin_c, Vitamin_e"", ""Unit Count"": ""1.0 Ounce"", ""Number of Items"": ""1"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""3.4 x 1.2 x 1 inches; 1 Ounces"", ""Item model number"": ""SG_B003O1VO3Y_US"", ""UPC"": ""795922363738 885169201150"", ""Manufacturer"": ""Aloe Life""}', '{""Brand"": ""Aloe Life"", ""Item Form"": ""Gel"", ""Active Ingredients"": ""Vitamin_c, Vitamin_e"", ""Unit Count"": ""1.0 Ounce"", ""Number of Items"": ""1"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""3.4 x 1.2 x 1 inches; 1 Ounces"", ""Item model number"": ""SG_B003O1VO3Y_US"", ""UPC"": ""795922363738 885169201150"", ""Manufacturer"": ""Aloe Life""}', '{""Brand"": ""Aloe Life"", ""Item Form"": ""Gel"", ""Active Ingredients"": ""Vitamin_c, Vitamin_e"", ""Unit Count"": ""1.0 Ounce"", ""Number of Items"": ""1"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""3.4 x 1.2 x 1 inches; 1 Ounces"", ""Item model number"": ""SG_B003O1VO3Y_US"", ""UPC"": ""795922363738 885169201150"", ""Manufacturer"": ""Aloe Life""}', '{""Brand"": ""Aloe Life"", ""Item Form"": ""Gel"", ""Active Ingredients"": ""Vitamin_c, Vitamin_e"", ""Unit Count"": ""1.0 Ounce"", ""Number of Items"": ""1"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""3.4 x 1.2 x 1 inches; 1 Ounces"", ""Item model number"": ""SG_B003O1VO3Y_US"", ""UPC"": ""795922363738 885169201150"", ""Manufacturer"": ""Aloe Life""}', '{""Brand"": ""Aloe Life"", ""Item Form"": ""Gel"", ""Active Ingredients"": ""Vitamin_c, Vitamin_e"", ""Unit Count"": ""1.0 Ounce"", ""Number of Items"": ""1"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""3.4 x 1.2 x 1 inches; 1 Ounces"", ""Item model number"": ""SG_B003O1VO3Y_US"", ""UPC"": ""795922363738 885169201150"", ""Manufacturer"": ""Aloe Life""}', '{""Brand"": ""Aloe Life"", ""Item Form"": ""Gel"", ""Active Ingredients"": ""Vitamin_c, Vitamin_e"", ""Unit Count"": ""1.0 Ounce"", ""Number of Items"": ""1"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""3.4 x 1.2 x 1 inches; 1 Ounces"", ""Item model number"": ""SG_B003O1VO3Y_US"", ""UPC"": ""795922363738 885169201150"", ""Manufacturer"": ""Aloe Life""}', '{""Brand"": ""Aloe Life"", ""Item Form"": ""Gel"", ""Active Ingredients"": ""Vitamin_c, Vitamin_e"", ""Unit Count"": ""1.0 Ounce"", ""Number of Items"": ""1"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""3.4 x 1.2 x 1 inches; 1 Ounces"", ""Item model number"": ""SG_B003O1VO3Y_US"", ""UPC"": ""795922363738 885169201150"", ""Manufacturer"": ""Aloe Life""}', '{""Brand"": ""Aloe Life"", ""Item Form"": ""Gel"", ""Active Ingredients"": ""Vitamin_c, Vitamin_e"", ""Unit Count"": ""1.0 Ounce"", ""Number of Items"": ""1"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""3.4 x 1.2 x 1 inches; 1 Ounces"", ""Item model number"": ""SG_B003O1VO3Y_US"", ""UPC"": ""795922363738 885169201150"", ""Manufacturer"": ""Aloe Life""}']"
SEPHORA COLLECTION Enchanted Sky Eyeshadow Palette 8 Matte and Shimmer Eyeshadows,4.0,75,18.5,[],[],SEPHORA,"{""Brand"": ""SEPHORA"", ""Finish Type"": ""Shimmery, Matte"", ""Special Feature"": ""Travel size, Matte"", ""Number of Items"": ""1"", ""Unit Count"": ""1 Count"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""4 x 5 x 4 inches; 3.21 Ounces"", ""Manufacturer"": ""Sephora""}","['{""Brand"": ""SEPHORA"", ""Finish Type"": ""Shimmery, Matte"", ""Special Feature"": ""Travel size, Matte"", ""Number of Items"": ""1"", ""Unit Count"": ""1 Count"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""4 x 5 x 4 inches; 3.21 Ounces"", ""Manufacturer"": ""Sephora""}', '{""Brand"": ""SEPHORA"", ""Finish Type"": ""Shimmery, Matte"", ""Special Feature"": ""Travel size, Matte"", ""Number of Items"": ""1"", ""Unit Count"": ""1 Count"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""4 x 5 x 4 inches; 3.21 Ounces"", ""Manufacturer"": ""Sephora""}', '{""Brand"": ""SEPHORA"", ""Finish Type"": ""Shimmery, Matte"", ""Special Feature"": ""Travel size, Matte"", ""Number of Items"": ""1"", ""Unit Count"": ""1 Count"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""4 x 5 x 4 inches; 3.21 Ounces"", ""Manufacturer"": ""Sephora""}', '{""Brand"": ""SEPHORA"", ""Finish Type"": ""Shimmery, Matte"", ""Special Feature"": ""Travel size, Matte"", ""Number of Items"": ""1"", ""Unit Count"": ""1 Count"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""4 x 5 x 4 inches; 3.21 Ounces"", ""Manufacturer"": ""Sephora""}', '{""Brand"": ""SEPHORA"", ""Finish Type"": ""Shimmery, Matte"", ""Special Feature"": ""Travel size, Matte"", ""Number of Items"": ""1"", ""Unit Count"": ""1 Count"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""4 x 5 x 4 inches; 3.21 Ounces"", ""Manufacturer"": ""Sephora""}', '{""Brand"": ""SEPHORA"", ""Finish Type"": ""Shimmery, Matte"", ""Special Feature"": ""Travel size, Matte"", ""Number of Items"": ""1"", ""Unit Count"": ""1 Count"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""4 x 5 x 4 inches; 3.21 Ounces"", ""Manufacturer"": ""Sephora""}', '{""Brand"": ""SEPHORA"", ""Finish Type"": ""Shimmery, Matte"", ""Special Feature"": ""Travel size, Matte"", ""Number of Items"": ""1"", ""Unit Count"": ""1 Count"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""4 x 5 x 4 inches; 3.21 Ounces"", ""Manufacturer"": ""Sephora""}', '{""Brand"": ""SEPHORA"", ""Finish Type"": ""Shimmery, Matte"", ""Special Feature"": ""Travel size, Matte"", ""Number of Items"": ""1"", ""Unit Count"": ""1 Count"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""4 x 5 x 4 inches; 3.21 Ounces"", ""Manufacturer"": ""Sephora""}', '{""Brand"": ""SEPHORA"", ""Finish Type"": ""Shimmery, Matte"", ""Special Feature"": ""Travel size, Matte"", ""Number of Items"": ""1"", ""Unit Count"": ""1 Count"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""4 x 5 x 4 inches; 3.21 Ounces"", ""Manufacturer"": ""Sephora""}', '{""Brand"": ""SEPHORA"", ""Finish Type"": ""Shimmery, Matte"", ""Special Feature"": ""Travel size, Matte"", ""Number of Items"": ""1"", ""Unit Count"": ""1 Count"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""4 x 5 x 4 inches; 3.21 Ounces"", ""Manufacturer"": ""Sephora""}']"
Bourjois Mini Nail Varnish (Emplettes a New York #23),1.0,1,6.5,[],[],Bourjois,"{""Brand"": ""Bourjois"", ""Item Form"": ""Gel"", ""Special Feature"": ""Long Lasting,Chip Resistent"", ""Number of Items"": ""1"", ""Number of Pieces"": ""1""}","['{""Brand"": ""Bourjois"", ""Item Form"": ""Gel"", ""Special Feature"": ""Long Lasting,Chip Resistent"", ""Number of Items"": ""1"", ""Number of Pieces"": ""1""}']"
Avon Imari Elixir Limited-edition Body Lotions 6.7 Fl. Oz.,5.0,9,31.25,[],[],AVON JEMSLY,"{""Brand"": ""AVON JEMSLY"", ""Item Form"": ""Lotion"", ""Unit Count"": ""6.7 Fl Oz"", ""Number of Items"": ""1"", ""Use for"": ""Whole Body"", ""Package Dimensions"": ""7.8 x 3.1 x 2.4 inches; 8 Ounces"", ""UPC"": ""888761077796""}","['{""Brand"": ""AVON JEMSLY"", ""Item Form"": ""Lotion"", ""Unit Count"": ""6.7 Fl Oz"", ""Number of Items"": ""1"", ""Use for"": ""Whole Body"", ""Package Dimensions"": ""7.8 x 3.1 x 2.4 inches; 8 Ounces"", ""UPC"": ""888761077796""}', '{""Brand"": ""AVON JEMSLY"", ""Item Form"": ""Lotion"", ""Unit Count"": ""6.7 Fl Oz"", ""Number of Items"": ""1"", ""Use for"": ""Whole Body"", ""Package Dimensions"": ""7.8 x 3.1 x 2.4 inches; 8 Ounces"", ""UPC"": ""888761077796""}', '{""Brand"": ""AVON JEMSLY"", ""Item Form"": ""Lotion"", ""Unit Count"": ""6.7 Fl Oz"", ""Number of Items"": ""1"", ""Use for"": ""Whole Body"", ""Package Dimensions"": ""7.8 x 3.1 x 2.4 inches; 8 Ounces"", ""UPC"": ""888761077796""}']"
"4 Point Eyebrow Pen, Micro Ink Brow Pen Waterproof Eyebrow Pencil With Micro-Fork Tips for Daily Natural Eye Brown Makeup",3.0,781,5.99,[],[],Lunana Beauty,"{""Brand"": ""Lunana Beauty"", ""Item Form"": ""Pencil"", ""Special Feature"": ""Waterproof"", ""Material Feature"": ""Natural"", ""Skin Type"": ""All"", ""Package Dimensions"": ""2 x 1.2 x 0.5 inches; 0.81 Ounces"", ""UPC"": ""763944352085""}","['{""Brand"": ""Lunana Beauty"", ""Item Form"": ""Pencil"", ""Special Feature"": ""Waterproof"", ""Material Feature"": ""Natural"", ""Skin Type"": ""All"", ""Package Dimensions"": ""2 x 1.2 x 0.5 inches; 0.81 Ounces"", ""UPC"": ""763944352085""}', '{""Brand"": ""Lunana Beauty"", ""Item Form"": ""Pencil"", ""Special Feature"": ""Waterproof"", ""Material Feature"": ""Natural"", ""Skin Type"": ""All"", ""Package Dimensions"": ""2 x 1.2 x 0.5 inches; 0.81 Ounces"", ""UPC"": ""763944352085""}', '{""Brand"": ""Lunana Beauty"", ""Item Form"": ""Pencil"", ""Special Feature"": ""Waterproof"", ""Material Feature"": ""Natural"", ""Skin Type"": ""All"", ""Package Dimensions"": ""2 x 1.2 x 0.5 inches; 0.81 Ounces"", ""UPC"": ""763944352085""}', '{""Brand"": ""Lunana Beauty"", ""Item Form"": ""Pencil"", ""Special Feature"": ""Waterproof"", ""Material Feature"": ""Natural"", ""Skin Type"": ""All"", ""Package Dimensions"": ""2 x 1.2 x 0.5 inches; 0.81 Ounces"", ""UPC"": ""763944352085""}', '{""Brand"": ""Lunana Beauty"", ""Item Form"": ""Pencil"", ""Special Feature"": ""Waterproof"", ""Material Feature"": ""Natural"", ""Skin Type"": ""All"", ""Package Dimensions"": ""2 x 1.2 x 0.5 inches; 0.81 Ounces"", ""UPC"": ""763944352085""}', '{""Brand"": ""Lunana Beauty"", ""Item Form"": ""Pencil"", ""Special Feature"": ""Waterproof"", ""Material Feature"": ""Natural"", ""Skin Type"": ""All"", ""Package Dimensions"": ""2 x 1.2 x 0.5 inches; 0.81 Ounces"", ""UPC"": ""763944352085""}', '{""Brand"": ""Lunana Beauty"", ""Item Form"": ""Pencil"", ""Special Feature"": ""Waterproof"", ""Material Feature"": ""Natural"", ""Skin Type"": ""All"", ""Package Dimensions"": ""2 x 1.2 x 0.5 inches; 0.81 Ounces"", ""UPC"": ""763944352085""}', '{""Brand"": ""Lunana Beauty"", ""Item Form"": ""Pencil"", ""Special Feature"": ""Waterproof"", ""Material Feature"": ""Natural"", ""Skin Type"": ""All"", ""Package Dimensions"": ""2 x 1.2 x 0.5 inches; 0.81 Ounces"", ""UPC"": ""763944352085""}', '{""Brand"": ""Lunana Beauty"", ""Item Form"": ""Pencil"", ""Special Feature"": ""Waterproof"", ""Material Feature"": ""Natural"", ""Skin Type"": ""All"", ""Package Dimensions"": ""2 x 1.2 x 0.5 inches; 0.81 Ounces"", ""UPC"": ""763944352085""}', '{""Brand"": ""Lunana Beauty"", ""Item Form"": ""Pencil"", ""Special Feature"": ""Waterproof"", ""Material Feature"": ""Natural"", ""Skin Type"": ""All"", ""Package Dimensions"": ""2 x 1.2 x 0.5 inches; 0.81 Ounces"", ""UPC"": ""763944352085""}']"
